GOLD - COMMODITY EXCHANGE INC.,240806,2024-08-06,088691,CMX ,1,88,480645,298119,59370,42879,88442,357476,429440,459725,51205,20920,480645,298119,59370,42879,88442,357476,429440,459725,51205,20920,0,0,0,0,0,0,0,0,0,0,  -30269,  -15245,   -7393,   -5725,  -10573,  -14396,  -31543,  -27514,    1274,   -2755,100.0,62.0,12.4,8.9,18.4,74.4,89.3,95.6,10.7,4.4,100.0,62.0,12.4,8.9,18.4,74.4,89.3,95.6,10.7,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306,165,74,86,42,50,253,169,306,165,74,86,42,50,253,169,0,0,0,0,0,0,0,0,17.6,44.4,27.6,58.5,17.5,42.0,26.5,55.9,17.6,44.4,27.6,58.5,17.5,42.0,26.5,55.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,240730,2024-07-30,088691,CMX ,1,88,510914,313364,66763,48604,99015,371872,460983,487239,49931,23675,510914,313364,66763,48604,99015,371872,460983,487239,49931,23675,0,0,0,0,0,0,0,0,0,0,  -61392,  -28236,   -1763,  -26160,   -3222,  -31290,  -57618,  -59213,   -3774,   -2179,100.0,61.3,13.1,9.5,19.4,72.8,90.2,95.4,9.8,4.6,100.0,61.3,13.1,9.5,19.4,72.8,90.2,95.4,9.8,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319,190,60,78,41,50,264,160,319,190,60,78,41,50,264,160,0,0,0,0,0,0,0,0,16.5,39.5,26.7,55.1,16.5,36.9,24.7,51.0,16.5,39.5,26.7,55.1,16.5,36.9,24.7,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,240723,2024-07-23,088691,CMX ,1,88,572306,341600,68526,74764,102237,403162,518601,546452,53705,25854,572306,341600,68526,74764,102237,403162,518601,546452,53705,25854,0,0,0,0,0,0,0,0,0,0,   -7556,   -8227,    3723,    8584,   -7804,  -16183,   -7447,   -3876,    -109,   -3680,100.0,59.7,12.0,13.1,17.9,70.4,90.6,95.5,9.4,4.5,100.0,59.7,12.0,13.1,17.9,70.4,90.6,95.5,9.4,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332,198,64,82,47,51,279,167,332,198,64,82,47,51,279,167,0,0,0,0,0,0,0,0,15.3,35.7,26.0,49.9,14.3,34.3,23.0,48.2,15.3,35.7,26.0,49.9,14.3,34.3,23.0,48.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,240716,2024-07-16,088691,CMX ,1,88,579862,349827,64803,66180,110041,419345,526048,550328,53814,29534,579862,349827,64803,66180,110041,419345,526048,550328,53814,29534,0,0,0,0,0,0,0,0,0,0,   63538,   46784,   16535,   -3571,   17134,   45809,   60347,   58773,    3191,    4765,100.0,60.3,11.2,11.4,19.0,72.3,90.7,94.9,9.3,5.1,100.0,60.3,11.2,11.4,19.0,72.3,90.7,94.9,9.3,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343,205,66,85,42,57,278,181,343,205,66,85,42,57,278,181,0,0,0,0,0,0,0,0,14.6,36.4,24.9,50.0,14.2,33.5,23.2,46.7,14.6,36.4,24.9,50.0,14.2,33.5,23.2,46.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,240709,2024-07-09,088691,CMX ,1,88,516324,303043,48268,69751,92907,373536,465701,491555,50623,24769,516324,303043,48268,69751,92907,373536,465701,491555,50623,24769,0,0,0,0,0,0,0,0,0,0,   61594,   22926,    9694,   29737,    6002,   21832,   58665,   61263,    2929,     331,100.0,58.7,9.3,13.5,18.0,72.3,90.2,95.2,9.8,4.8,100.0,58.7,9.3,13.5,18.0,72.3,90.2,95.2,9.8,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321,197,52,87,42,55,266,171,321,197,52,87,42,55,266,171,0,0,0,0,0,0,0,0,16.3,37.2,26.7,51.9,15.2,35.7,23.3,49.7,16.3,37.2,26.7,51.9,15.2,35.7,23.3,49.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,240702,2024-07-02,088691,CMX ,1,88,454730,280117,38574,40014,86905,351704,407036,430292,47694,24438,454730,280117,38574,40014,86905,351704,407036,430292,47694,24438,0,0,0,0,0,0,0,0,0,0,    2540,   -4768,     -82,    7696,     354,   -6335,    3282,    1279,    -742,    1261,100.0,61.6,8.5,8.8,19.1,77.3,89.5,94.6,10.5,5.4,100.0,61.6,8.5,8.8,19.1,77.3,89.5,94.6,10.5,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306,188,49,81,41,51,254,159,306,188,49,81,41,51,254,159,0,0,0,0,0,0,0,0,17.0,41.4,26.8,57.1,16.9,39.2,25.6,54.8,17.0,41.4,26.8,57.1,16.9,39.2,25.6,54.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,240625,2024-06-25,088691,CMX ,1,88,452190,284885,38656,32318,86551,358039,403754,429013,48436,23177,452190,284885,38656,32318,86551,358039,403754,429013,48436,23177,0,0,0,0,0,0,0,0,0,0,    7845,   -2262,   -5407,    6219,    3111,    6869,    7068,    7681,     777,     164,100.0,63.0,8.5,7.1,19.1,79.2,89.3,94.9,10.7,5.1,100.0,63.0,8.5,7.1,19.1,79.2,89.3,94.9,10.7,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300,180,53,72,40,54,243,158,300,180,53,72,40,54,243,158,0,0,0,0,0,0,0,0,17.7,42.6,27.9,58.7,17.5,40.3,26.5,56.4,17.7,42.6,27.9,58.7,17.5,40.3,26.5,56.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,240618,2024-06-18,088691,CMX ,1,88,444345,287147,44063,26099,83440,351170,396686,421332,47659,23013,444345,287147,44063,26099,83440,351170,396686,421332,47659,23013,0,0,0,0,0,0,0,0,0,0,    7488,   10378,    1220,   -1504,    1266,    8485,   10140,    8201,   -2652,    -713,100.0,64.6,9.9,5.9,18.8,79.0,89.3,94.8,10.7,5.2,100.0,64.6,9.9,5.9,18.8,79.0,89.3,94.8,10.7,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308,182,57,68,41,57,248,160,308,182,57,68,41,57,248,160,0,0,0,0,0,0,0,0,17.8,42.1,28.1,58.5,17.8,39.9,26.8,56.1,17.8,42.1,28.1,58.5,17.8,39.9,26.8,56.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,240611,2024-06-11,088691,CMX ,1,88,436857,276769,42843,27603,82174,342685,386546,413131,50311,23726,436857,276769,42843,27603,82174,342685,386546,413131,50311,23726,0,0,0,0,0,0,0,0,0,0,  -10631,   -7797,   -4421,   -2094,   -1244,   -6664,  -11135,  -13179,     504,    2548,100.0,63.4,9.8,6.3,18.8,78.4,88.5,94.6,11.5,5.4,100.0,63.4,9.8,6.3,18.8,78.4,88.5,94.6,11.5,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294,170,62,70,40,48,236,156,294,170,62,70,40,48,236,156,0,0,0,0,0,0,0,0,17.8,42.4,27.7,59.1,17.7,40.5,26.6,56.6,17.8,42.4,27.7,59.1,17.7,40.5,26.6,56.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,240604,2024-06-04,088691,CMX ,1,88,447488,284566,47264,29697,83418,349349,397681,426310,49807,21178,447488,284566,47264,29697,83418,349349,397681,426310,49807,21178,0,0,0,0,0,0,0,0,0,0,  -37942,   -2171,   -2888,   -8287,  -25763,  -20782,  -36221,  -31957,   -1721,   -5985,100.0,63.6,10.6,6.6,18.6,78.1,88.9,95.3,11.1,4.7,100.0,63.6,10.6,6.6,18.6,78.1,88.9,95.3,11.1,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311,183,63,78,40,51,255,163,311,183,63,78,40,51,255,163,0,0,0,0,0,0,0,0,17.1,42.5,26.3,58.7,17.0,40.4,25.8,56.2,17.1,42.5,26.3,58.7,17.0,40.4,25.8,56.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,240528,2024-05-28,088691,CMX ,1,88,485430,286737,50152,37984,109181,370131,433902,458267,51528,27163,485430,286737,50152,37984,109181,370131,433902,458267,51528,27163,0,0,0,0,0,0,0,0,0,0,  -45161,  -13992,  -20771,  -18100,   -9333,   -7046,  -41425,  -45917,   -3736,     756,100.0,59.1,10.3,7.8,22.5,76.2,89.4,94.4,10.6,5.6,100.0,59.1,10.3,7.8,22.5,76.2,89.4,94.4,10.6,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316,187,63,81,39,56,261,167,316,187,63,81,39,56,261,167,0,0,0,0,0,0,0,0,16.0,37.5,25.5,53.6,15.5,35.0,24.3,50.6,16.0,37.5,25.5,53.6,15.5,35.0,24.3,50.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,240521,2024-05-21,088691,CMX ,1,88,530591,300729,70923,56084,118514,377177,475327,504184,55264,26407,530591,300729,70923,56084,118514,377177,475327,504184,55264,26407,0,0,0,0,0,0,0,0,0,0,    7639,   23087,   -2223,   -3010,  -15069,   11484,    5008,    6251,    2631,    1388,100.0,56.7,13.4,10.6,22.3,71.1,89.6,95.0,10.4,5.0,100.0,56.7,13.4,10.6,22.3,71.1,89.6,95.0,10.4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333,193,64,89,44,61,283,174,333,193,64,89,44,61,283,174,0,0,0,0,0,0,0,0,14.9,34.9,23.7,49.7,14.4,32.7,22.2,47.4,14.9,34.9,23.7,49.7,14.4,32.7,22.2,47.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,240514,2024-05-14,088691,CMX ,1,88,522952,277642,73146,59094,133583,365693,470319,497933,52633,25019,522952,277642,73146,59094,133583,365693,470319,497933,52633,25019,0,0,0,0,0,0,0,0,0,0,   -6883,    5498,     569,  -18997,    8684,   13528,   -4815,   -4900,   -2068,   -1983,100.0,53.1,14.0,11.3,25.5,69.9,89.9,95.2,10.1,4.8,100.0,53.1,14.0,11.3,25.5,69.9,89.9,95.2,10.1,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338,194,71,88,46,55,279,180,338,194,71,88,46,55,279,180,0,0,0,0,0,0,0,0,16.5,36.4,26.8,50.5,14.3,31.2,22.0,45.1,16.5,36.4,26.8,50.5,14.3,31.2,22.0,45.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,240507,2024-05-07,088691,CMX ,1,88,529835,272144,72577,78091,124899,352165,475134,502833,54701,27002,529835,272144,72577,78091,124899,352165,475134,502833,54701,27002,0,0,0,0,0,0,0,0,0,0,   10044,   -6706,   -2063,   14349,   -2026,   -2258,    5617,   10028,    4427,      16,100.0,51.4,13.7,14.7,23.6,66.5,89.7,94.9,10.3,5.1,100.0,51.4,13.7,14.7,23.6,66.5,89.7,94.9,10.3,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327,183,73,82,42,53,261,176,327,183,73,82,42,53,261,176,0,0,0,0,0,0,0,0,19.0,36.4,29.2,52.7,13.8,30.4,21.3,43.9,19.0,36.4,29.2,52.7,13.8,30.4,21.3,43.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,240430,2024-04-30,088691,CMX ,1,88,519791,278850,74640,63742,126925,354423,469517,492805,50274,26986,519791,278850,74640,63742,126925,354423,469517,492805,50274,26986,0,0,0,0,0,0,0,0,0,0,    3542,    -685,   -2004,    5025,   -2158,   -1532,    2182,    1489,    1360,    2053,100.0,53.6,14.4,12.3,24.4,68.2,90.3,94.8,9.7,5.2,100.0,53.6,14.4,12.3,24.4,68.2,90.3,94.8,9.7,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326,189,66,89,42,56,261,184,326,189,66,89,42,56,261,184,0,0,0,0,0,0,0,0,18.3,36.0,28.6,51.8,14.2,30.1,22.0,44.2,18.3,36.0,28.6,51.8,14.2,30.1,22.0,44.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,240423,2024-04-23,088691,CMX ,1,88,516249,279535,76644,58717,129083,355955,467335,491316,48914,24933,516249,279535,76644,58717,129083,355955,467335,491316,48914,24933,0,0,0,0,0,0,0,0,0,0,    -944,     758,    -210,    3230,   -3601,     513,     387,    3533,   -1331,   -4477,100.0,54.1,14.8,11.4,25.0,69.0,90.5,95.2,9.5,4.8,100.0,54.1,14.8,11.4,25.0,69.0,90.5,95.2,9.5,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334,188,68,84,45,57,260,187,334,188,68,84,45,57,260,187,0,0,0,0,0,0,0,0,18.3,36.6,28.4,52.4,13.7,30.7,21.8,45.0,18.3,36.6,28.4,52.4,13.7,30.7,21.8,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,240416,2024-04-16,088691,CMX ,1,88,517193,278777,76854,55487,132684,355442,466948,487783,50245,29410,517193,278777,76854,55487,132684,355442,466948,487783,50245,29410,0,0,0,0,0,0,0,0,0,0,   11979,   -1022,    -526,    9725,    4590,    2766,   13293,   11965,   -1314,      14,100.0,53.9,14.9,10.7,25.7,68.7,90.3,94.3,9.7,5.7,100.0,53.9,14.9,10.7,25.7,68.7,90.3,94.3,9.7,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340,186,77,80,48,61,268,186,340,186,77,80,48,61,268,186,0,0,0,0,0,0,0,0,17.0,36.0,27.0,51.1,13.5,30.2,21.3,44.6,17.0,36.0,27.0,51.1,13.5,30.2,21.3,44.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,240409,2024-04-09,088691,CMX ,1,88,505214,279799,77380,45762,128094,352676,453655,475818,51559,29396,505214,279799,77380,45762,128094,352676,453655,475818,51559,29396,0,0,0,0,0,0,0,0,0,0,    5169,   -1600,    3231,    3161,     980,    -152,    2541,    6240,    2628,   -1071,100.0,55.4,15.3,9.1,25.4,69.8,89.8,94.2,10.2,5.8,100.0,55.4,15.3,9.1,25.4,69.8,89.8,94.2,10.2,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335,177,80,81,46,62,258,191,335,177,80,81,46,62,258,191,0,0,0,0,0,0,0,0,16.7,36.0,27.0,51.5,13.6,30.6,22.5,45.5,16.7,36.0,27.0,51.5,13.6,30.6,22.5,45.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,240402,2024-04-02,088691,CMX ,1,88,500045,281399,74149,42601,127114,352828,451114,469578,48931,30467,500045,281399,74149,42601,127114,352828,451114,469578,48931,30467,0,0,0,0,0,0,0,0,0,0,   -3597,   15752,    7796,   -5616,  -14660,   -7286,   -4524,   -5106,     927,    1509,100.0,56.3,14.8,8.5,25.4,70.6,90.2,93.9,9.8,6.1,100.0,56.3,14.8,8.5,25.4,70.6,90.2,93.9,9.8,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348,188,84,79,44,61,271,188,348,188,84,79,44,61,271,188,0,0,0,0,0,0,0,0,15.9,35.9,26.6,51.8,13.2,30.6,22.4,45.5,15.9,35.9,26.6,51.8,13.2,30.6,22.4,45.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,240326,2024-03-26,088691,CMX ,1,88,503642,265647,66353,48217,141774,360114,455638,474684,48004,28958,503642,265647,66353,48217,141774,360114,455638,474684,48004,28958,0,0,0,0,0,0,0,0,0,0,  -31405,  -13085,  -10777,  -20865,    3672,    4482,  -30278,  -27160,   -1127,   -4245,100.0,52.7,13.2,9.6,28.1,71.5,90.5,94.3,9.5,5.7,100.0,52.7,13.2,9.6,28.1,71.5,90.5,94.3,9.5,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332,186,69,80,51,61,270,179,332,186,69,80,51,61,270,179,0,0,0,0,0,0,0,0,14.9,36.8,25.6,52.8,12.6,31.4,21.4,45.1,14.9,36.8,25.6,52.8,12.6,31.4,21.4,45.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,240319,2024-03-19,088691,CMX ,1,88,535047,278732,77130,69082,138102,355632,485916,501844,49131,33203,535047,278732,77130,69082,138102,355632,485916,501844,49131,33203,0,0,0,0,0,0,0,0,0,0,   18990,   -4330,   -4330,   13511,    8670,    7927,   17851,   17108,    1139,    1882,100.0,52.1,14.4,12.9,25.8,66.5,90.8,93.8,9.2,6.2,100.0,52.1,14.4,12.9,25.8,66.5,90.8,93.8,9.2,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340,176,88,90,48,61,265,201,340,176,88,90,48,61,265,201,0,0,0,0,0,0,0,0,14.3,33.6,24.9,47.4,12.2,28.5,20.4,40.7,14.3,33.6,24.9,47.4,12.2,28.5,20.4,40.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,240312,2024-03-12,088691,CMX ,1,88,516057,283062,81460,55571,129432,347705,468065,484736,47992,31321,516057,283062,81460,55571,129432,347705,468065,484736,47992,31321,0,0,0,0,0,0,0,0,0,0,   44441,   18914,    8605,   -3092,   25409,   36890,   41231,   42403,    3210,    2038,100.0,54.9,15.8,10.8,25.1,67.4,90.7,93.9,9.3,6.1,100.0,54.9,15.8,10.8,25.1,67.4,90.7,93.9,9.3,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342,184,85,84,42,59,262,195,342,184,85,84,42,59,262,195,0,0,0,0,0,0,0,0,14.4,33.5,24.1,48.0,12.3,28.2,20.8,41.0,14.4,33.5,24.1,48.0,12.3,28.2,20.8,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,240305,2024-03-05,088691,CMX ,1,88,471616,264148,72855,58663,104023,310815,426834,442333,44782,29283,471616,264148,72855,58663,104023,310815,426834,442333,44782,29283,0,0,0,0,0,0,0,0,0,0,   60421,   49200,    -457,    9791,   -4409,   44031,   54582,   53365,    5839,    7056,100.0,56.0,15.4,12.4,22.1,65.9,90.5,93.8,9.5,6.2,100.0,56.0,15.4,12.4,22.1,65.9,90.5,93.8,9.5,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342,182,87,89,46,56,274,188,342,182,87,89,46,56,274,188,0,0,0,0,0,0,0,0,12.9,29.5,22.5,45.5,12.9,28.0,21.9,42.8,12.9,29.5,22.5,45.5,12.9,28.0,21.9,42.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,240227,2024-02-27,088691,CMX ,1,88,411195,214948,73312,48872,108432,266784,372252,388968,38943,22227,411195,214948,73312,48872,108432,266784,372252,388968,38943,22227,0,0,0,0,0,0,0,0,0,0,    4132,    3914,    2540,    1108,    2013,     954,    7035,    4602,   -2903,    -470,100.0,52.3,17.8,11.9,26.4,64.9,90.5,94.6,9.5,5.4,100.0,52.3,17.8,11.9,26.4,64.9,90.5,94.6,9.5,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320,170,79,93,49,53,262,186,320,170,79,93,49,53,262,186,0,0,0,0,0,0,0,0,14.1,30.0,24.1,47.1,14.0,27.9,23.8,43.8,14.1,30.0,24.1,47.1,14.0,27.9,23.8,43.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,240220,2024-02-20,088691,CMX ,1,88,407063,211034,70772,47764,106419,265830,365217,384366,41846,22697,407063,211034,70772,47764,106419,265830,365217,384366,41846,22697,0,0,0,0,0,0,0,0,0,0,  -13749,   -6471,  -15565,   -1786,   -3110,    3321,  -11367,  -14030,   -2382,     281,100.0,51.8,17.4,11.7,26.1,65.3,89.7,94.4,10.3,5.6,100.0,51.8,17.4,11.7,26.1,65.3,89.7,94.4,10.3,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308,169,73,87,48,52,254,177,308,169,73,87,48,52,254,177,0,0,0,0,0,0,0,0,14.2,31.8,24.1,49.1,14.2,29.9,23.6,46.4,14.2,31.8,24.1,49.1,14.2,29.9,23.6,46.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,240213,2024-02-13,088691,CMX ,1,88,420812,217505,86337,49550,109529,262509,376584,398396,44228,22416,420812,217505,86337,49550,109529,262509,376584,398396,44228,22416,0,0,0,0,0,0,0,0,0,0,    1691,  -11118,   19452,    5259,    5185,  -22076,    -674,    2635,    2365,    -944,100.0,51.7,20.5,11.8,26.0,62.4,89.5,94.7,10.5,5.3,100.0,51.7,20.5,11.8,26.0,62.4,89.5,94.7,10.5,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309,159,79,91,51,53,254,183,309,159,79,91,51,53,254,183,0,0,0,0,0,0,0,0,13.6,31.3,23.4,48.1,13.5,29.0,23.1,44.8,13.6,31.3,23.4,48.1,13.5,29.0,23.1,44.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,240206,2024-02-06,088691,CMX ,1,88,419121,228623,66885,44291,104344,284585,377258,395761,41863,23360,419121,228623,66885,44291,104344,284585,377258,395761,41863,23360,0,0,0,0,0,0,0,0,0,0,  -11207,    9401,   -4546,   -3926,  -13181,   -3458,   -7706,  -11930,   -3501,     723,100.0,54.5,16.0,10.6,24.9,67.9,90.0,94.4,10.0,5.6,100.0,54.5,16.0,10.6,24.9,67.9,90.0,94.4,10.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305,172,64,80,47,51,251,166,305,172,64,80,47,51,251,166,0,0,0,0,0,0,0,0,14.0,33.9,24.1,52.2,13.9,31.7,24.0,49.0,14.0,33.9,24.1,52.2,13.9,31.7,24.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,240130,2024-01-30,088691,CMX ,1,88,430328,219222,71431,48217,117525,288043,384964,407691,45364,22637,430328,219222,71431,48217,117525,288043,384964,407691,45364,22637,0,0,0,0,0,0,0,0,0,0,  -35544,  -21878,    -195,  -17817,    4431,  -17144,  -35264,  -35156,    -280,    -388,100.0,50.9,16.6,11.2,27.3,66.9,89.5,94.7,10.5,5.3,100.0,50.9,16.6,11.2,27.3,66.9,89.5,94.7,10.5,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300,169,62,78,49,53,251,162,300,169,62,78,49,53,251,162,0,0,0,0,0,0,0,0,13.4,32.8,23.2,51.1,13.4,30.8,22.9,46.1,13.4,32.8,23.2,51.1,13.4,30.8,22.9,46.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
