GOLD - COMMODITY EXCHANGE INC.,240123,2024-01-23,088691,CMX ,1,88,465872,241100,71626,66034,113094,305187,420228,442847,45644,23025,465872,241100,71626,66034,113094,305187,420228,442847,45644,23025,0,0,0,0,0,0,0,0,0,0,  -23462,  -21260,  -10841,   -2013,    3807,  -11520,  -19466,  -24374,   -3996,     912,100.0,51.8,15.4,14.2,24.3,65.5,90.2,95.1,9.8,4.9,100.0,51.8,15.4,14.2,24.3,65.5,90.2,95.1,9.8,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302,165,67,98,52,53,261,179,302,165,67,98,52,53,261,179,0,0,0,0,0,0,0,0,15.0,33.3,24.1,49.8,14.8,31.8,23.5,46.8,15.0,33.3,24.1,49.8,14.8,31.8,23.5,46.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,240116,2024-01-16,088691,CMX ,1,88,489334,262360,82467,68047,109287,316707,439694,467221,49640,22113,489334,262360,82467,68047,109287,316707,439694,467221,49640,22113,0,0,0,0,0,0,0,0,0,0,    -515,   -9305,    -584,    6926,    2798,   -7483,     419,   -1141,    -934,     626,100.0,53.6,16.9,13.9,22.3,64.7,89.9,95.5,10.1,4.5,100.0,53.6,16.9,13.9,22.3,64.7,89.9,95.5,10.1,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308,169,69,96,49,50,258,180,308,169,69,96,49,50,258,180,0,0,0,0,0,0,0,0,14.3,32.6,22.9,48.8,14.1,31.5,22.4,46.0,14.3,32.6,22.9,48.8,14.1,31.5,22.4,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,240109,2024-01-09,088691,CMX ,1,88,489849,271665,83051,61121,106489,324190,439275,468362,50574,21487,489849,271665,83051,61121,106489,324190,439275,468362,50574,21487,0,0,0,0,0,0,0,0,0,0,  -10515,  -19041,      -6,    9467,   -2315,  -20092,  -11889,  -10631,    1374,     116,100.0,55.5,17.0,12.5,21.7,66.2,89.7,95.6,10.3,4.4,100.0,55.5,17.0,12.5,21.7,66.2,89.7,95.6,10.3,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309,174,68,91,46,47,260,170,309,174,68,91,46,47,260,170,0,0,0,0,0,0,0,0,14.3,33.0,23.5,49.7,14.2,32.1,22.7,47.3,14.3,33.0,23.5,49.7,14.2,32.1,22.7,47.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,240102,2024-01-02,088691,CMX ,1,88,500364,290706,83057,51654,108804,344282,451164,478993,49200,21371,500364,290706,83057,51654,108804,344282,451164,478993,49200,21371,0,0,0,0,0,0,0,0,0,0,    9021,     863,     932,    4141,    2853,    5986,    7857,   11059,    1164,   -2038,100.0,58.1,16.6,10.3,21.7,68.8,90.2,95.7,9.8,4.3,100.0,58.1,16.6,10.3,21.7,68.8,90.2,95.7,9.8,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319,179,66,88,51,54,270,173,319,179,66,88,51,54,270,173,0,0,0,0,0,0,0,0,14.0,32.9,23.0,50.3,13.8,31.6,22.2,46.5,14.0,32.9,23.0,50.3,13.8,31.6,22.2,46.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,251230,2025-12-30,088691,CMX ,1,88,481866,275592,44419,63803,82254,357500,421649,465722,60217,16144,481866,275592,44419,63803,82254,357500,421649,465722,60217,16144,0,0,0,0,0,0,0,0,0,0,  -10237,  -14569,   -5042,     -36,    6419,   -1861,   -8186,   -6939,   -2051,   -3298,100.0,57.2,9.2,13.2,17.1,74.2,87.5,96.6,12.5,3.4,100.0,57.2,9.2,13.2,17.1,74.2,87.5,96.6,12.5,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304,187,50,67,51,45,263,140,304,187,50,67,51,45,263,140,0,0,0,0,0,0,0,0,14.9,35.3,26.6,52.4,12.5,33.5,21.9,48.7,14.9,35.3,26.6,52.4,12.5,33.5,21.9,48.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,251223,2025-12-23,088691,CMX ,1,88,492103,290161,49461,63839,75835,359361,429835,472661,62268,19442,492103,290161,49461,63839,75835,359361,429835,472661,62268,19442,0,0,0,0,0,0,0,0,0,0,   21010,    9241,    2519,    7116,    1180,   10348,   17537,   19983,    3473,    1027,100.0,59.0,10.1,13.0,15.4,73.0,87.3,96.0,12.7,4.0,100.0,59.0,10.1,13.0,15.4,73.0,87.3,96.0,12.7,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320,201,53,63,46,49,272,142,320,201,53,63,46,49,272,142,0,0,0,0,0,0,0,0,13.9,34.2,25.2,51.0,12.4,33.0,21.5,48.3,13.9,34.2,25.2,51.0,12.4,33.0,21.5,48.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,251216,2025-12-16,088691,CMX ,1,88,471093,280920,46942,56723,74655,349013,412298,452678,58795,18415,471093,280920,46942,56723,74655,349013,412298,452678,58795,18415,0,0,0,0,0,0,0,0,0,0,   38524,   12435,    2343,   11831,   10948,   22727,   35214,   36901,    3310,    1623,100.0,59.6,10.0,12.0,15.8,74.1,87.5,96.1,12.5,3.9,100.0,59.6,10.0,12.0,15.8,74.1,87.5,96.1,12.5,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333,209,55,74,49,51,286,154,333,209,55,74,49,51,286,154,0,0,0,0,0,0,0,0,14.3,33.7,26.5,50.5,13.8,32.3,23.6,48.2,14.3,33.7,26.5,50.5,13.8,32.3,23.6,48.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,251209,2025-12-09,088691,CMX ,1,88,432569,268485,44599,44892,63707,326286,377084,415777,55485,16792,432569,268485,44599,44892,63707,326286,377084,415777,55485,16792,0,0,0,0,0,0,0,0,0,0,   14079,    7154,     828,    3692,    3560,   10791,   14406,   15311,    -327,   -1232,100.0,62.1,10.3,10.4,14.7,75.4,87.2,96.1,12.8,3.9,100.0,62.1,10.3,10.4,14.7,75.4,87.2,96.1,12.8,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317,206,42,69,44,50,273,142,317,206,42,69,44,50,273,142,0,0,0,0,0,0,0,0,15.1,35.3,27.7,51.1,14.9,34.1,25.2,49.3,15.1,35.3,27.7,51.1,14.9,34.1,25.2,49.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,251202,2025-12-02,088691,CMX ,1,88,418490,261331,43771,41200,60147,315495,362678,400466,55812,18024,418490,261331,43771,41200,60147,315495,362678,400466,55812,18024,0,0,0,0,0,0,0,0,0,0,  -14456,    8065,   -4907,   -2050,  -22510,   -8565,  -16495,  -15522,    2039,    1066,100.0,62.4,10.5,9.8,14.4,75.4,86.7,95.7,13.3,4.3,100.0,62.4,10.5,9.8,14.4,75.4,86.7,95.7,13.3,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306,200,42,69,45,50,267,143,306,200,42,69,45,50,267,143,0,0,0,0,0,0,0,0,15.7,35.5,27.7,51.3,15.5,34.3,25.9,49.7,15.7,35.5,27.7,51.3,15.5,34.3,25.9,49.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,251125,2025-11-25,088691,CMX ,1,88,432946,253266,48678,43250,82657,324060,379173,415988,53773,16958,432946,253266,48678,43250,82657,324060,379173,415988,53773,16958,0,0,0,0,0,0,0,0,0,0,  -39007,  -16290,  -10539,   -7907,  -14344,  -18526,  -38541,  -36972,    -466,   -2035,100.0,58.5,11.2,10.0,19.1,74.8,87.6,96.1,12.4,3.9,100.0,58.5,11.2,10.0,19.1,74.8,87.6,96.1,12.4,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301,192,44,72,44,50,259,147,301,192,44,72,44,50,259,147,0,0,0,0,0,0,0,0,15.2,33.2,26.8,49.5,14.9,31.8,25.1,46.7,15.2,33.2,26.8,49.5,14.9,31.8,25.1,46.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,251118,2025-11-18,088691,CMX ,1,88,471953,269556,59217,51157,97001,342586,417714,452960,54239,18993,471953,269556,59217,51157,97001,342586,417714,452960,54239,18993,0,0,0,0,0,0,0,0,0,0,   11956,    3640,     370,     894,    9925,   10687,   14459,   11951,   -2503,       5,100.0,57.1,12.5,10.8,20.6,72.6,88.5,96.0,11.5,4.0,100.0,57.1,12.5,10.8,20.6,72.6,88.5,96.0,11.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323,198,50,81,51,57,275,167,323,198,50,81,51,57,275,167,0,0,0,0,0,0,0,0,15.5,30.9,26.1,46.2,14.4,29.6,23.4,44.2,15.5,30.9,26.1,46.2,14.4,29.6,23.4,44.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,251110,2025-11-10,088691,CMX ,1,88,459997,265916,58847,50263,87076,331899,403255,441009,56742,18988,459997,265916,58847,50263,87076,331899,403255,441009,56742,18988,0,0,0,0,0,0,0,0,0,0,    9598,    9344,    4582,   -1548,   -1279,    7002,    6517,   10036,    3081,    -438,100.0,57.8,12.8,10.9,18.9,72.2,87.7,95.9,12.3,4.1,100.0,57.8,12.8,10.9,18.9,72.2,87.7,95.9,12.3,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317,191,52,75,52,52,272,155,317,191,52,75,52,52,272,155,0,0,0,0,0,0,0,0,14.9,31.3,25.3,47.7,14.7,30.1,23.8,44.6,14.9,31.3,25.3,47.7,14.7,30.1,23.8,44.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,251104,2025-11-04,088691,CMX ,1,88,450399,256572,54265,51811,88355,324897,396738,430973,53661,19426,450399,256572,54265,51811,88355,324897,396738,430973,53661,19426,0,0,0,0,0,0,0,0,0,0,   -6723,   -9736,   -7379,    3392,   -1298,   -1783,   -7642,   -5770,     919,    -953,100.0,57.0,12.0,11.5,19.6,72.1,88.1,95.7,11.9,4.3,100.0,57.0,12.0,11.5,19.6,72.1,88.1,95.7,11.9,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,184,55,75,52,53,267,155,312,184,55,75,52,53,267,155,0,0,0,0,0,0,0,0,15.5,32.1,26.8,48.5,15.3,30.5,24.8,44.9,15.5,32.1,26.8,48.5,15.3,30.5,24.8,44.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,251028,2025-10-28,088691,CMX ,1,88,457122,266308,61644,48419,89653,326680,404380,436743,52742,20379,457122,266308,61644,48419,89653,326680,404380,436743,52742,20379,0,0,0,0,0,0,0,0,0,0,  -15299,   12457,  -15598,   -6383,  -18194,    8716,  -12120,  -13265,   -3179,   -2034,100.0,58.3,13.5,10.6,19.6,71.5,88.5,95.5,11.5,4.5,100.0,58.3,13.5,10.6,19.6,71.5,88.5,95.5,11.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325,193,59,70,50,53,274,154,325,193,59,70,50,53,274,154,0,0,0,0,0,0,0,0,15.3,31.7,26.6,48.3,15.2,30.1,24.7,44.8,15.3,31.7,26.6,48.3,15.2,30.1,24.7,44.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,251021,2025-10-21,088691,CMX ,1,88,472421,253851,77242,54802,107847,317964,416500,450008,55921,22413,472421,253851,77242,54802,107847,317964,416500,450008,55921,22413,0,0,0,0,0,0,0,0,0,0,  -13367,  -24554,    2753,   -1295,   15820,  -10930,  -10029,   -9472,   -3338,   -3895,100.0,53.7,16.4,11.6,22.8,67.3,88.2,95.3,11.8,4.7,100.0,53.7,16.4,11.6,22.8,67.3,88.2,95.3,11.8,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334,185,76,75,51,52,268,174,334,185,76,75,51,52,268,174,0,0,0,0,0,0,0,0,16.3,31.0,27.9,46.0,15.6,29.4,25.4,42.0,16.3,31.0,27.9,46.0,15.6,29.4,25.4,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,251014,2025-10-14,088691,CMX ,1,88,485788,278405,74489,56097,92027,328894,426529,459480,59259,26308,485788,278405,74489,56097,92027,328894,426529,459480,59259,26308,0,0,0,0,0,0,0,0,0,0,     229,  -22393,    5647,    5509,   14428,  -12477,   -2456,   -1321,    2685,    1550,100.0,57.3,15.3,11.5,18.9,67.7,87.8,94.6,12.2,5.4,100.0,57.3,15.3,11.5,18.9,67.7,87.8,94.6,12.2,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335,203,63,74,49,53,278,167,335,203,63,74,49,53,278,167,0,0,0,0,0,0,0,0,15.8,30.5,27.0,46.1,15.1,29.1,24.9,43.9,15.8,30.5,27.0,46.1,15.1,29.1,24.9,43.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,251007,2025-10-07,088691,CMX ,1,88,485559,300798,68842,50588,77599,341371,428985,460801,56574,24758,485559,300798,68842,50588,77599,341371,428985,460801,56574,24758,0,0,0,0,0,0,0,0,0,0,   -8189,  -18006,    2946,    2040,    8727,  -15737,   -7239,  -10751,    -950,    2562,100.0,61.9,14.2,10.4,16.0,70.3,88.3,94.9,11.7,5.1,100.0,61.9,14.2,10.4,16.0,70.3,88.3,94.9,11.7,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353,211,69,69,47,54,286,168,353,211,69,69,47,54,286,168,0,0,0,0,0,0,0,0,15.3,32.1,26.9,47.9,14.7,31.0,25.0,46.4,15.3,32.1,26.9,47.9,14.7,31.0,25.0,46.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,250930,2025-09-30,088691,CMX ,1,88,493748,318804,65896,48548,68872,357108,436224,471552,57524,22196,493748,318804,65896,48548,68872,357108,436224,471552,57524,22196,0,0,0,0,0,0,0,0,0,0,  -35041,  -14004,    -163,   -6779,  -14099,  -24266,  -34882,  -31208,    -159,   -3833,100.0,64.6,13.3,9.8,13.9,72.3,88.3,95.5,11.7,4.5,100.0,64.6,13.3,9.8,13.9,72.3,88.3,95.5,11.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351,212,66,74,48,55,288,171,351,212,66,74,48,55,288,171,0,0,0,0,0,0,0,0,15.0,32.8,26.7,50.1,14.8,31.6,25.3,48.7,15.0,32.8,26.7,50.1,14.8,31.6,25.3,48.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,250923,2025-09-23,088691,CMX ,1,88,528789,332808,66059,55327,82971,381374,471106,502760,57683,26029,528789,332808,66059,55327,82971,381374,471106,502760,57683,26029,0,0,0,0,0,0,0,0,0,0,   12568,    6030,    5691,    4623,    5104,    1136,   15757,   11450,   -3189,    1118,100.0,62.9,12.5,10.5,15.7,72.1,89.1,95.1,10.9,4.9,100.0,62.9,12.5,10.5,15.7,72.1,89.1,95.1,10.9,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359,213,70,87,51,61,300,186,359,213,70,87,51,61,300,186,0,0,0,0,0,0,0,0,16.0,30.1,26.8,48.6,15.2,29.2,25.1,47.4,16.0,30.1,26.8,48.6,15.2,29.2,25.1,47.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,250916,2025-09-16,088691,CMX ,1,88,516221,326778,60368,50704,77867,380238,455349,491310,60872,24911,516221,326778,60368,50704,77867,380238,455349,491310,60872,24911,0,0,0,0,0,0,0,0,0,0,    6596,    1903,   -2767,   -1206,    4017,   33013,    4714,   29040,    1882,  -22444,100.0,63.3,11.7,9.8,15.1,73.7,88.2,95.2,11.8,4.8,100.0,63.3,11.7,9.8,15.1,73.7,88.2,95.2,11.8,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350,211,63,89,50,60,297,180,350,211,63,89,50,60,297,180,0,0,0,0,0,0,0,0,16.2,30.6,26.6,49.9,15.6,29.6,25.0,48.6,16.2,30.6,26.6,49.9,15.6,29.6,25.0,48.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,250909,2025-09-09,088691,CMX ,1,88,509625,324875,63135,51910,73850,347225,450635,462270,58990,47355,509625,324875,63135,51910,73850,347225,450635,462270,58990,47355,0,0,0,0,0,0,0,0,0,0,   16717,    9079,   -3131,    5352,     -69,    -592,   14362,    1629,    2355,   15088,100.0,63.7,12.4,10.2,14.5,68.1,88.4,90.7,11.6,9.3,100.0,63.7,12.4,10.2,14.5,68.1,88.4,90.7,11.6,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348,211,64,81,48,59,292,175,348,211,64,81,48,59,292,175,0,0,0,0,0,0,0,0,16.6,29.1,27.2,46.8,16.2,28.3,25.8,45.5,16.6,29.1,27.2,46.8,16.2,28.3,25.8,45.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,250902,2025-09-02,088691,CMX ,1,88,492908,315796,66266,46558,73919,347817,436273,460641,56635,32267,492908,315796,66266,46558,73919,347817,436273,460641,56635,32267,0,0,0,0,0,0,0,0,0,0,   49148,   40029,    4810,    8185,    1011,   23944,   49225,   36939,     -77,   12209,100.0,64.1,13.4,9.4,15.0,70.6,88.5,93.5,11.5,6.5,100.0,64.1,13.4,9.4,15.0,70.6,88.5,93.5,11.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360,212,73,81,50,65,293,189,360,212,73,81,50,65,293,189,0,0,0,0,0,0,0,0,17.1,28.4,27.7,47.1,17.0,27.7,26.2,46.1,17.1,28.4,27.7,47.1,17.0,27.7,26.2,46.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,250826,2025-08-26,088691,CMX ,1,88,443760,275767,61456,38373,72908,323873,387048,423702,56712,20058,443760,275767,61456,38373,72908,323873,387048,423702,56712,20058,0,0,0,0,0,0,0,0,0,0,    5219,     490,   -1231,   -2123,    6238,    7238,    4605,    3884,     614,    1335,100.0,62.1,13.8,8.6,16.4,73.0,87.2,95.5,12.8,4.5,100.0,62.1,13.8,8.6,16.4,73.0,87.2,95.5,12.8,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316,187,58,75,55,54,273,158,316,187,58,75,55,54,273,158,0,0,0,0,0,0,0,0,19.4,29.9,30.5,49.7,19.1,29.1,28.7,48.3,19.4,29.9,30.5,49.7,19.1,29.1,28.7,48.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,250819,2025-08-19,088691,CMX ,1,88,438541,275277,62687,40496,66670,316635,382443,419818,56098,18723,438541,275277,62687,40496,66670,316635,382443,419818,56098,18723,0,0,0,0,0,0,0,0,0,0,   -7611,  -12838,    4057,    -458,    3243,   -9857,  -10053,   -6258,    2442,   -1353,100.0,62.8,14.3,9.2,15.2,72.2,87.2,95.7,12.8,4.3,100.0,62.8,14.3,9.2,15.2,72.2,87.2,95.7,12.8,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318,193,60,83,50,52,275,164,318,193,60,83,50,52,275,164,0,0,0,0,0,0,0,0,20.1,30.9,31.7,50.8,19.8,30.1,30.2,49.1,20.1,30.9,31.7,50.8,19.8,30.1,30.2,49.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,250812,2025-08-12,088691,CMX ,1,88,446152,288115,58630,40954,63427,326492,392496,426076,53656,20076,446152,288115,58630,40954,63427,326492,392496,426076,53656,20076,0,0,0,0,0,0,0,0,0,0,   -3495,   -4079,    3486,   10173,  -10648,  -17729,   -4554,   -4070,    1059,     575,100.0,64.6,13.1,9.2,14.2,73.2,88.0,95.5,12.0,4.5,100.0,64.6,13.1,9.2,14.2,73.2,88.0,95.5,12.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318,198,50,70,47,57,270,154,318,198,50,70,47,57,270,154,0,0,0,0,0,0,0,0,20.3,30.4,31.5,51.3,19.8,29.6,30.1,49.3,20.3,30.4,31.5,51.3,19.8,29.6,30.1,49.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,250805,2025-08-05,088691,CMX ,1,88,449647,292194,55144,30781,74075,344221,397050,430146,52597,19501,449647,292194,55144,30781,74075,344221,397050,430146,52597,19501,0,0,0,0,0,0,0,0,0,0,    4388,   10953,   -2501,    -928,   -5018,    6049,    5007,    2620,    -619,    1768,100.0,65.0,12.3,6.8,16.5,76.6,88.3,95.7,11.7,4.3,100.0,65.0,12.3,6.8,16.5,76.6,88.3,95.7,11.7,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,191,47,66,54,55,268,149,312,191,47,66,54,55,268,149,0,0,0,0,0,0,0,0,20.7,35.1,32.1,55.8,19.7,34.4,30.8,55.0,20.7,35.1,32.1,55.8,19.7,34.4,30.8,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,250729,2025-07-29,088691,CMX ,1,88,445259,281241,57645,31709,79093,338172,392043,427526,53216,17733,445259,281241,57645,31709,79093,338172,392043,427526,53216,17733,0,0,0,0,0,0,0,0,0,0,  -44164,  -30708,   -1266,  -14987,    2367,  -20891,  -43328,  -37144,    -836,   -7020,100.0,63.2,12.9,7.1,17.8,75.9,88.0,96.0,12.0,4.0,100.0,63.2,12.9,7.1,17.8,75.9,88.0,96.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300,181,46,69,54,56,260,150,300,181,46,69,54,56,260,150,0,0,0,0,0,0,0,0,20.2,34.5,31.0,53.6,19.4,31.9,29.5,50.8,20.2,34.5,31.0,53.6,19.4,31.9,29.5,50.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,250722,2025-07-22,088691,CMX ,1,88,489423,311949,58911,46696,76726,359063,435371,464670,54052,24753,489423,311949,58911,46696,76726,359063,435371,464670,54052,24753,0,0,0,0,0,0,0,0,0,0,   40892,   41722,    1799,    1357,     737,   32386,   43816,   35542,   -2924,    5350,100.0,63.7,12.0,9.5,15.7,73.4,89.0,94.9,11.0,5.1,100.0,63.7,12.0,9.5,15.7,73.4,89.0,94.9,11.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337,203,58,76,50,63,283,170,337,203,58,76,50,63,283,170,0,0,0,0,0,0,0,0,18.1,30.3,28.1,49.3,17.5,29.8,26.4,47.4,18.1,30.3,28.1,49.3,17.5,29.8,26.4,47.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
