date,Commercial Positions-Long (All),Commercial Positions-Short (All),comm_net,williams_cot_index
2024-01-02,108804,344282,-235478.0,
2024-01-09,106489,324190,-217701.0,
2024-01-16,109287,316707,-207420.0,
2024-01-23,113094,305187,-192093.0,
2024-01-30,117525,288043,-170518.0,
2024-02-06,104344,284585,-180241.0,
2024-02-13,109529,262509,-152980.0,
2024-02-20,106419,265830,-159411.0,
2024-02-27,108432,266784,-158352.0,
2024-03-05,104023,310815,-206792.0,
2024-03-12,129432,347705,-218273.0,
2024-03-19,138102,355632,-217530.0,
2024-03-26,141774,360114,-218340.0,
2024-04-02,127114,352828,-225714.0,
2024-04-09,128094,352676,-224582.0,
2024-04-16,132684,355442,-222758.0,
2024-04-23,129083,355955,-226872.0,
2024-04-30,126925,354423,-227498.0,
2024-05-07,124899,352165,-227266.0,
2024-05-14,133583,365693,-232110.0,
2024-05-21,118514,377177,-258663.0,
2024-05-28,109181,370131,-260950.0,
2024-06-04,83418,349349,-265931.0,
2024-06-11,82174,342685,-260511.0,
2024-06-18,83440,351170,-267730.0,
2024-06-25,86551,358039,-271488.0,0.0
2024-07-02,86905,351704,-264799.0,5.644344685590847
2024-07-09,92907,373536,-280629.0,0.0
2024-07-16,110041,419345,-309304.0,0.0
2024-07-23,102237,403162,-300925.0,5.360021493820526
2024-07-30,99015,371872,-272857.0,23.315037998004144
2024-08-06,88442,357476,-269034.0,25.76059977994422
2024-08-13,88313,380815,-292502.0,11.130690550638613
2024-08-20,86232,402738,-316506.0,0.0
2024-08-27,85102,407421,-322319.0,0.0
2024-09-03,80416,392303,-311887.0,9.955243393867677
2024-09-10,78232,385131,-306899.0,14.715285001288303
2024-09-17,74647,409774,-335127.0,0.0
2024-09-24,76713,416419,-339706.0,0.0
2024-10-01,67099,394623,-327524.0,10.41659540992578
2024-10-08,68957,372933,-303976.0,30.552040223005097
2024-10-15,70028,382686,-312658.0,23.97149795274474
2024-10-22,66245,390946,-324701.0,13.344895055140519
2024-10-29,68935,372606,-303671.0,32.048203486303805
2024-11-05,73287,356346,-283059.0,52.647867950481434
2024-11-12,75347,340929,-265582.0,91.46255691423072
2024-11-19,73459,335781,-262322.0,97.7132394721889
2024-11-26,72377,344897,-272520.0,84.83616389923607
2024-12-03,63251,349526,-286275.0,67.46764315929036
2024-12-10,66025,362896,-296871.0,55.353819911092735
2024-12-17,61012,346245,-285233.0,70.39310451772977
2024-12-24,58136,331472,-273336.0,85.76708363485992
2024-12-31,60399,331695,-271296.0,88.40328750129225
2025-01-07,62674,341320,-278646.0,78.90520004135222
2025-01-14,92075,394527,-302452.0,48.14173472552466
2025-01-21,95116,421724,-326608.0,16.92597953065233
2025-01-28,110034,433756,-323722.0,20.655432647575726
2025-02-04,74378,402553,-328175.0,14.90101312932906
2025-02-11,72622,382510,-309888.0,38.53251318101933
2025-02-18,72393,368464,-296071.0,56.38762534890934
2025-02-25,71796,359896,-288100.0,66.68820427995452
2025-03-04,65713,336828,-271115.0,88.63718598159826
2025-03-11,84545,349733,-265188.0,96.29639201902202
2025-03-18,91549,376717,-285168.0,70.47710120955236
2025-03-25,86838,365436,-278598.0,75.28434543604695
2025-04-01,68875,333936,-265061.0,95.84073618513963
2025-04-08,69214,301397,-232183.0,100.0
2025-04-15,70568,302480,-231912.0,100.0
2025-04-22,91128,293396,-202268.0,100.0
2025-04-29,92787,283548,-190761.0,100.0
2025-05-06,87244,279347,-192103.0,99.02338917431995
2025-05-13,88412,279619,-191207.0,99.6754333619573
2025-05-20,90256,287904,-197648.0,94.98813803542579
2025-05-27,87509,295096,-207587.0,87.75525055671183
2025-06-03,70905,291731,-220826.0,78.12086104763706
2025-06-10,68432,291150,-222718.0,76.74399988356353
2025-06-17,71684,309411,-237727.0,65.8215320127498
2025-06-24,73323,303883,-230560.0,71.03715778596067
2025-07-01,68820,304889,-236069.0,67.0281048510341
2025-07-08,71875,310229,-238354.0,65.36524662698123
2025-07-15,75989,326677,-250688.0,56.389450856535724
2025-07-22,76726,359063,-282337.0,33.3575909295996
2025-07-29,79093,338172,-259079.0,50.28308614842738
2025-08-05,74075,344221,-270146.0,33.361034861954046
2025-08-12,63427,326492,-263065.0,31.341752919950622
2025-08-19,66670,316635,-249965.0,39.177513637904646
2025-08-26,72908,323873,-250965.0,36.22930503034733
2025-09-02,73919,347817,-273898.0,11.93767411314839
2025-09-09,73850,347225,-273375.0,12.491658457529633
2025-09-16,77867,380238,-302371.0,0.0
2025-09-23,82971,381374,-298403.0,3.5552369859331603
2025-09-30,68872,357108,-288236.0,12.664635785323895
2025-10-07,77599,341371,-263772.0,34.58381865424245
2025-10-14,92027,328894,-236867.0,58.69008153391273
2025-10-21,107847,317964,-210117.0,82.65746796882
2025-10-28,89653,326680,-237027.0,58.78161994890432
2025-11-04,88355,324897,-236542.0,59.21791227375769
2025-11-10,87076,331899,-244823.0,54.95258921153901
2025-11-18,97001,342586,-245585.0,59.91095543551654
2025-11-25,82657,324060,-241403.0,66.08710733409933
2025-12-02,60147,315495,-255348.0,50.97123159971383
2025-12-09,63707,326286,-262579.0,43.13308908014829
2025-12-16,74655,349013,-274358.0,30.36507902096386
2025-12-23,75835,359361,-283526.0,20.42729854532053
2025-12-30,82254,357500,-275246.0,29.402519131961757
2026-01-06,80218,352253,-272035.0,32.88312701888265
2026-01-13,83382,380488,-297106.0,5.7070696121577384
2026-01-20,85869,375558,-289689.0,13.746829405771024
2026-01-27,96200,344485,-248285.0,58.627268194333034
2026-02-03,87964,295742,-207778.0,100.0
2026-02-10,88738,286476,-197738.0,100.0
2026-02-17,88237,285019,-196782.0,100.0
2026-02-24,86198,287004,-200806.0,96.1889969599106
2026-03-03,84834,285417,-200583.0,96.40019320194338
2026-03-10,85280,288256,-202976.0,94.1338586405781
2026-03-17,86184,284832,-198648.0,98.16376536345834
2026-03-24,76997,280825,-203828.0,92.97675531278657
2026-03-31,58697,260337,-201640.0,95.15768908735696
2026-04-07,57729,251480,-193751.0,100.0
2026-04-14,55757,256839,-201082.0,92.90697111895892
2026-04-21,56261,259201,-202940.0,91.10928353732282
2026-04-28,60553,255366,-194813.0,98.97247351361811
2026-05-05,58230,257165,-198935.0,94.98427749020367
2026-05-12,57725,267983,-210258.0,84.02883266411881
2026-05-19,69520,261149,-191629.0,100.0
2026-05-26,74641,260407,-185766.0,100.0
2026-06-02,53851,260196,-206345.0,81.51697503143524
2026-06-09,58986,260022,-201036.0,86.285252380097
2026-06-16,58220,265783,-207563.0,80.423028561164
2026-06-23,64579,269983,-205404.0,82.36213400395187
2026-06-30,59118,280188,-221070.0,68.29171905873899
2026-07-07,59564,281846,-222282.0,67.20316148733609
